"Time (ps)"	"Count rate (counts/s), channel 1"	"Count rate (counts/s), channel 2"	"Frequency (Hz), channel 1"	"Frequency (Hz), channel 2"
259180000000000	91200	84700	91116.72736862069	84912.532881836189
259200000000000	91250	84050	91287.53572921145	84489.268945702846
259220000000000	91050	84450	91135.092364759577	84127.230339042813
259240000000000	91000	84450	91042.277171859052	84404.464260903056
259260000000000	91050	83700	91001.78204059077	84160.115407633784
259280000000000	91250	84500	91265.943296141661	84259.389977742525
259300000000000	91000	84450	91026.96590181168	84178.31436363839
259320000000000	91100	84700	91072.515983642559	84856.405924931241
259340000000000	90900	84400	90934.419190961984	84409.899209442476
259360000000000	91200	84250	91008.55390338978	84343.524148253535
259380000000000	90950	84500	91128.108195075882	84255.074375988377
259400000000000	91250	84800	91066.416534352247	84701.050108652562
259420000000000	90900	84600	91072.829711742685	84668.577067552353
259440000000000	90950	84800	90890.81317136054	84688.907530999088
259460000000000	91150	84350	91087.042685851629	84555.267987440238
259480000000000	91300	84400	91231.898813792781	84429.929128015094
259500000000000	91200	84250	91253.828922694258	84387.215759803672
259520000000000	91200	84150	91266.825585748389	84201.488979982169
259540000000000	90950	84650	91118.014760363003	84407.34948874313
259560000000000	90850	84750	90841.595450171008	84742.48137329999
259580000000000	91100	84900	90899.739889412798	84837.388661677032
259600000000000	91100	84600	91134.171334123181	84824.786543140333
259620000000000	91050	84050	90950.961542042904	84140.487757533818
259640000000000	90950	84850	91192.197651669092	84405.238067283542
259660000000000	91150	84600	90900.832442521831	84618.244533708406
259680000000000	91050	84900	91211.433338366347	84765.465383087751
259700000000000	90900	84350	90919.126998534935	84749.241312636033
259720000000000	90950	84200	90907.948177801649	84259.839759581548
